name,number,start_left,end_left,start_right,end_right,start,end,length,start_amplicon,end_amplicon
nCoV-2019_59_pool1,59,17674,17696,18036,18061,17674,18061,387,17738,17992
nCoV-2019_60_pool2,60,17966,17992,18324,18347,17966,18347,381,18036,18274
nCoV-2019_61_pool1,61,18253,18274,18650,18671,18253,18671,418,18324,18617
nCoV-2019_62_pool2,62,18596,18617,18957,18978,18596,18978,382,18650,18917
nCoV-2019_63_pool1,63,18896,18917,19275,19296,18896,19296,400,18957,19231
nCoV-2019_64_pool2,64,19204,19231,19591,19615,19204,19615,411,19275,19569
nCoV-2019_65_pool1,65,19548,19569,19911,19938,19548,19938,390,19591,19865
nCoV-2019_66_pool2,66,19844,19865,20231,20254,19844,20254,410,19911,20199
nCoV-2019_67_pool1,67,20172,20199,20542,20571,20172,20571,399,20231,20495
nCoV-2019_68_pool2,68,20472,20495,20867,20889,20472,20889,417,20542,20812
nCoV-2019_69_pool1,69,20786,20812,21146,21168,20786,21168,382,20867,21103
nCoV-2019_70_pool2,70,21075,21103,21427,21454,21075,21454,379,21146,21385
nCoV-2019_71_pool1,71,21357,21385,21716,21742,21357,21742,385,21427,21681
nCoV-2019_72_pool2,72,21658,21681,22013,22037,21658,22037,379,21716,21989
nCoV-2019_73_pool1,73,21961,21989,22324,22345,21961,22345,384,22013,22289
nCoV-2019_74_pool2,74,22262,22289,22626,22649,22262,22649,387,22324,22541
nCoV-2019_75_pool1,75,22516,22541,22877,22902,22516,22902,386,22626,22818
nCoV-2019_76_pool2,76,22797,22818,23192,23213,22797,23213,416,22877,23143
nCoV-2019_77_pool1,77,23122,23143,23500,23521,23122,23521,399,23192,23465
nCoV-2019_78_pool2,78,23443,23465,23822,23846,23443,23846,403,23500,23811
nCoV-2019_79_pool1,79,23789,23811,24145,24168,23789,24168,379,23822,24099
nCoV-2019_80_pool2,80,24078,24099,24443,24466,24078,24466,388,24145,24415
nCoV-2019_81_pool1,81,24391,24415,24765,24788,24391,24788,397,24443,24720
nCoV-2019_82_pool2,82,24696,24720,25052,25075,24696,25075,379,24765,25002
nCoV-2019_83_pool1,83,24978,25002,25347,25368,24978,25368,390,25052,25300
nCoV-2019_84_pool2,84,25279,25300,25646,25672,25279,25672,393,25347,25622
nCoV-2019_85_pool1,85,25601,25622,25969,25993,25601,25993,392,25646,25923
nCoV-2019_86_pool2,86,25902,25923,26290,26314,25902,26314,412,25969,26218
nCoV-2019_87_pool1,87,26197,26218,26566,26589,26197,26589,392,26290,26541
nCoV-2019_88_pool2,88,26520,26541,26890,26912,26520,26912,392,26566,26856
nCoV-2019_89_pool1,89,26835,26856,27202,27226,26835,27226,391,26890,27163
nCoV-2019_90_pool2,90,27141,27163,27511,27532,27141,27532,391,27202,27470
nCoV-2019_91_pool1,91,27446,27470,27825,27853,27446,27853,407,27511,27807
nCoV-2019_92_pool2,92,27784,27807,28145,28171,27784,28171,387,27825,28103
nCoV-2019_93_pool1,93,28081,28103,28442,28463,28081,28463,382,28145,28415
nCoV-2019_94_pool2,94,28394,28415,28756,28778,28394,28778,384,28442,28698
nCoV-2019_95_pool1,95,28677,28698,29041,29062,28677,29062,385,28756,29006
nCoV-2019_96_pool2,96,28985,29006,29356,29377,28985,29377,392,29041,29315
nCoV-2019_97_pool1,97,29288,29315,29665,29692,29288,29692,404,29356,29509
nCoV-2019_98_pool2,98,29486,29509,29836,29865,29486,29865,379,29665,29835
